"Auto Correct Onsite Search - Phrase (eVar) (evar103)","Onsite Search - Phrase without Campaign (eVar) (evar89)","Auto Correct Onsite Search - Phrase (eVar) Instance (Instance of evar103)"
"(arbeits handschuhe)\\ l","arbeitshahandschuhe l",1
"(arbeits hose)","arbeiterhose",3
"(arbeits tisch)","arbeitesttisch",3
"(arbeits tisch)","arbeitsitisch",4
"(arbeitsplatte küche)","arbeitsplattekuche",6
"(arbeitsplatte küche)","arbeitsplattenküche",2
"(arbeitsplatte massivholz)","arbeitsplattrmassivholz",8
"(aufbewahrungs schrank)","aufbawahrungsschrank",2
"(aufbewahrungs schrank)","aufbrwahrungsschrank",4
"(aufhänge schiene)","aufhängeeschine",2
"(aufhänge schiene)","aufhängenschiene",1
"(aufsitz rasenmäher)","aufaitzrasenmäher",1
"(aussen lampe)","aussenklappe",1
"(aussen lampen)","aussenglampen",2
"(auto anhänger)","autosanhänger",14
"(auto batterien)","autonbatterien",3
"(auto elektrik)","autoelektrick",2
"(auto radkappen)","autoradkappe",2
"(auto radkappen)","autoradkappen",1
"(auto radkappen)\\ 16\\ roll","autoradkappen 16 zoll",2
"(auto sitzbezug)","autositzbezg",1
"(auto sitzheizung)","autositzheizung",5
"(auto öl)\\ metall\\ polier","autosol metal polish",4
"(außen leuchte)\\ möbel","außenlleuchte mobil",2
"(außen stehleuchte)","ausenstehleuchte",1
"(außen stehleuchte)","außenstehlechte",5
"(außen stehleuchte)","außenstehleuchte",11
"(avant garde)","avandgarde",2
"(avant garde)","avantgrade",1
"(avant garde)","avantharde",1
"(avant garde)\\ gr.\\ l","avantgarde gr. l",1
"(bad amaturen)","badamturen",3
"(bad amaturen)","badeamatu&#341;en",2
"(bad amaturen)\\ in\\ messing","badamaturen in messing",1
"(bad amaturen)\\ rosette","badarmaturen rosette",1
"(bad amaturen)\\ rosette","badarmaturen rosetten",2
"(bad mobel)","badtmobel",12
"(bad mobel)\\ set","",4
"(bad mobel)\\ set","bademobel set",18
"(bad möbel)","badbamöbel",4
"(bad möbel)","bademöbel",6
"(bad möbel)\\ set","",13
"(bad möbel)\\ set","bademöbel  set",4
"(bad möbel)\\ set","bademöbel set",317
"(bad möbel)\\ stab","bademöbel stes",4
"(bad möbel)\\ twin","bademöbel tiny",1
"(bad möbel)\\ wandschrank","bademöbel wandschrank",1
"(bad möbel)\\\\\\-set","bademöbel-set",4
"(bad spiegel)\\ 160×80","badspiegel 160&times;80",2
"(bad spiegel)\\ 1\\ meter","badspiegel 1 meter",2
"(bad spiegel)\\ 3t","badspiegel 3t",1
"(bad spiegel)\\ 45×6000","badspiegel 45&times;60cm",1
"(bad spiegel)\\ 5000","badspiegel 50cm",1
"(bad spiegel)\\ 50\\\\\\*30","badspiegel 50*30",1
"(bad spiegel)\\ 60\\\\\\/120","badspiegel 60/120",1
"(bad spiegel)\\ 70\\ brett","badspiegel 70 breit",2
"(bad spiegel)\\ 70x100cm","badespiegel 70x100cm",2
"(bad spiegel)\\ 90\\ x80","badspiegel 90 x80",2
"(bad spiegel)\\ cristal","badspiegel christhal",1
"(bad spiegel)\\ infrarot","badspiegel infrarot",1
"(bad spiegel)\\ lack","badspiegel lucy",1
"(bad spiegel)\\ lampe","badespiegel lampe",3
"(bad spiegel)\\ lampen","badspiegel laufen",1
"(bad spiegel)\\ led\\ aufsitz","badspiegel led aufsatz",2
"(bad spiegel)\\ led\\ schwerl","badspiegel led schwarz",1
"(bad spiegel)\\ led\\ uhr","badspiegel led uhr",8
"(bad spiegel)\\ mit\\ heizung","badspiegel mit heizung",6
"(bad spiegel)\\ mit\\ lampe","badspiegel mit lampen",7
"(bad spiegel)\\ mit\\ lampe","badspiegel mit lupe",1
"(bad spiegel)\\ mit\\ strom","badspiegel mit strom",1
"(bad spiegel)\\ mit\\ tisch","badspiegel mit touch",1
"(bad spiegel)\\ mit\\ wand","badspiegel mit rand",1
"(bad spiegel)\\ ofen\\ rahmen","badspiegel ohne rahmne",1
"(bad spiegel)\\ ovale","badspiegel oval",1
"(bad spiegel)\\ ovale","badspiegel owal",2
"(bad spiegel)\\ quarz","badspiegel quer",1
"(bad spiegel)\\ rand\\ led","badspiegel rund led",5
"(bad spiegel)\\ rote","badspiegel sote",1
"(bad spiegel)\\ tisch","badspiegel touch",3
"(bad teppich)","badetepich",2
"(bad teppich)","badeteppicj",1
"(bad teppich)","badeteppisch",1
"(bad teppich)","baumteppich",8
"(bad teppich)\\ anker","badtteppich anker",1
"(bad teppich)\\ set","badeteppich set",2
"(bad teppiche)\\ blaue\\ rand","badeteppiche blau rund",1
"(bad teppiche)\\ happy","badeteppiche happy",1
"(bad teppiche)\\ set","badteppiche set",1
"(bade wanne)","badewawanne",3
"(bade wanne)","bäderwanne",2
"(bade wanne)\\ batterie","badenwanne bateri",1
"(bade wanne)\\ dusche\\ korb","badenwanne dusch kombi",2
"(badewannen einlagen)","badenwanneneinlagen",3
"(badewannen einlagen)","badewanbeneinlagen",1
"(badezimmer lüfter)","badezimmerbelüfter",3
"(badezimmer spiegel)","badezimmerxspiegel",1
"(badheizkörper florence)","badheizkörperflorence",3
"(badmöbel sets)\\ antrazit","badmöbelsers antrazit",5
"(balkon ablauf)","balkonaablauf",1
"(balkon fliesen)","balkonpflisen",2
"(balkon geländer)","balkonegeländer",3
"(balkon sichtschutz)\\ glas","balkonsichtschutz glaz",1
"(balkonset ecke)","balkonsitzecke",1
"(band säge)","bandssäge",1
"(bastel kleber)\\ weiß","bastelkleber weiß",1
"(batterie aa)","batterienaa",1
"(batterie schalter)","baterieschalter",1
"(batterie schalter)","batterieschalter",19
"(batteriekasten power)","batterriekastenpower",1
"(bau eimer)","bautyeimer",1
"(bau folie)","baupfolie",3
"(bau heizer)","bauaheizer",1
"(bau heizer)","baulheizer",1
"(bau winkel)\\ stabile","bauwinkel stabil",1
"(bau zaun)","baufzaun",3
"(bau zaun)","bauzauen",2
"(bau zaun)","bauzaunf",1
"(bau zaun)\\ abdeckung","bauzaun abdeckung",1
"(bau zaun)\\ element","bauzaun elemente",1
"(bau zaun)\\ pfahl","bauzaun pfähle",1
"(bau zaun)\\ platte","bauzaun plane",1
"(bau zaun)\\ sichtschutz","bauzaun sichtschutz",2
"(baum beleuchtung)\\ solar","baumbeleuchtung solar",5
"(baum stamm)","baumastam",2
"(baum stamm)\\ 310\\ l","baumstamm 310 l",3
"(baum stamm)\\ als\\ tapete","baumstamm als tapete",1
"(bautenschutz matte)","bautenschutzamatte",1
"(bautenschutz matte)","bautenschutzplatte",4
"(beistell tisch)","besitellstisch",2
"(benzin rasentrimmer)","benzinrasentrimmer",1
"(beschlag set)\\ 92\\\\\\/8","beschlagset 92/8",1
"(beschlag set)\\ glastüren","",1
"(beschlag set)\\ glastüren","beschlagset glastür",5
"(beschlag set)\\ glastüren","beschlagset glastüre",2
"(beton anstrich)","betonanstrich",15
"(beton anstrich)","betonsanstrich",2
"(beton bohrer)","betonnbohrer",3
"(beton bohrer)","bettongbohrer",4
"(beton mischer)","betontmischer",1
"(beton stein)","betonsstein",1
"(beton sturz)","betongsturtz",1
"(beton stürze)\\ 125","brtonstürze 125",1
"(bilder glas)","bilderglas",29
"(bilder halter)\\ decke","bilderhalter decke",2
"(bistro gardine)\\ 50","bistrogardine 50",2
"(bit satz)","bitnsatz",2
"(bit satz)","bittsatz",2
"(bit satz)","bitzsatz",1
"(bit set)","bittseat",1
"(bitumen bahnen)","bitumenbahnenb",1
"(blumen kübel)","blumenenkübel",4
"(blumen kübel)\\ ecke","blumenkübel eckig",2
"(blumen kübel)\\ k","blumenkübel k",1
"(blumen kübel)\\ kunststoff","blumenkübel kunstoff",1
"(blumen kübel)\\ rand","blumenkübel rund",2
"(blumen kübel)\\ rostoptik","blumenkübel rostoptik",1
"(blumen kübel)\\ stein","blumenkübel stein",3
"(blumen kübel)\\ weiß","blumenkübel weis",1
"(blumen samen)","blumensamwn",2
"(blumen ständer)\\ bambus","blumenständer bambus",1
"(blumen ständer)\\ holz","blumenständer holz",1
"(blumen ständer)\\ metall","blumenständer metal",1
"(blumen topf)\\ natur","blumenumtopf natur",2
"(blumen zwiebeln)","blumenziebeln",1
"(blumen zwiebeln)","blummenzwiebeln",1
"(boat cleaner)","boardcleaner",1
"(boat wash)","bootwash",1
"(boden fliesen)\\ filz","bodennfliesen filz",1
"(boden leisten)","bodenfleissen",1
"(boden leisten)","bodennleiste",1
"(boden leisten)\\ beton","bodenleisten braon",1
"(boden leisten)\\ decke","",1
"(boden leisten)\\ decke","bodenleisten ecke",1
"(boden leisten)\\ deckel","bodenleisten dunkel",3
"(boden leisten)\\ kunststoff","bodenleisten kunsttoff",3
"(boden leisten)\\ nussbaum","bodenleisten nussbaum",2
"(boden leisten)\\ oak","bodenleisten oak",5
