"Auto Correct Onsite Search - Phrase (eVar) (evar103)","Onsite Search - Phrase without Campaign (eVar) (evar89)","Auto Correct Onsite Search - Phrase (eVar) Instance (Instance of evar103)"
"(stahl seil)\\ leuchten","stahlseil leuchten",1
"(stahl seil)\\ meter","stahlseil meter",5
"(stahl seil)\\ meterware","stahlseil meterware",21
"(stahl seil)\\ spanner","stahlseil spannen",1
"(stahl seil)\\ vorhang","stahlseil vorhang",2
"(stahl seil)\\ zubehöhr","stahlseil zubehöhr",2
"(stahl seil)\\ zum\\ spanner","stahlseil zum spannen",1
"(stahl zarge)","stahlrzarge",1
"(stahl zargen)","strahlzargen",1
"(stahl zargen)\\ 61\\ cm","stahlzargen 61 cm",2
"(stand wc)","standlw",1
"(stand wc)\\ kloschüssel","standwc kloschuessel",1
"(starker winkel)","starkerwinkel",2
"(starthilfe kabel)","starthilferkabel",2
"(steck muffe)\\ 50\\ mm","steckmuffe 50 mm",1
"(steck muffe)\\ ht","steckmuffe ht",2
"(steck muffe)\\ zink","steckmuffe zink",1
"(steck regale)\\ edelstahl","steckregale edelstahl",2
"(steck regale)\\ holz","steckregale holz",1
"(steck regale)\\ kunststoff","steckregale kunstoff",3
"(steck regale)\\\\\\/\\ schild","",1
"(steck winkel)\\ 1600","steckwinkel  16mm",1
"(steck winkel)\\ 30","steckwinkel 30",1
"(steck winkel)\\ 45","steckwinkel 45",2
"(steck winkel)\\ dn\\ 50","steckwinkel dn 50",1
"(steck winkel)\\ lstahl","steckwinkel stahl",2
"(steckdose aussen)","steckdoseaussen",3
"(steckdose plug)","steckdosenplag",1
"(steckdosen adapter)","steckdosenerdapter",3
"(steckdosen leisten)","steckdosensleisten",1
"(steh leiter)","steigleiter",3
"(stehlampe holz)","stehlampeholz",1
"(stein fliesen)","steinflfliesen",3
"(stein folie)","stenfolie",3
"(stein ofen)\\ bad","steinboden bad",1
"(stein platte)","steinpplatte",1
"(steingut fliesen)\\ boden","steingutfliesen boden",1
"(stichsäge blatt)\\ set","stichsägenblatt set",1
"(streckmetall tisch)","streckmetalltisch",1
"(strom erzeuger)","stromaerzeuger",1
"(strom kabel)","strombkabel",1
"(struktur tapeten)","strukturtspeten",1
"(struktur tapeten)\\ vlies","strukturtapeten vlies",4
"(stuck gips)","stuckgibs",3
"(stuck gips)","stuckgips",29
"(stuck gips)","stukgips",1
"(stufen matten)\\ im\\ set","stufenmatten im set",1
"(stuhl winkel)","stulpwinkel",1
"(styropor kleber)","styroporrkleber",1
"(sunfun schutzhülle)","sunfunschutzhülle",2
"(säge kette)\\ öl","sägenkette öl",2
"(t griff)","togriff",1
"(t nutenstein)","tintenstein",1
"(t stück)","teestück",2
"(tapeten leiste)\\ 27","tapetenleiste 27",1
"(tapeten leiste)\\ 5\\\\\\/23","tapetenleiste 5/23",1
"(tapeten leiste)\\ alu","tapetenleiste alu",1
"(tapeten leiste)\\ weiß","tapetenleiste weiß",4
"(tapeten leiste)\\ winkel","tapetenleisten winkel",6
"(tapezier tisch)","tapezierentisch",1
"(tapezier tisch)","tapezierertisch",2
"(taschenlampe led)\\ lampe","taschenlampeled lampe",1
"(teich folie)","teichenfolie",1
"(teich folie)","teichjfolie",1
"(teich pumpe)","teichfpumpe",1
"(teichtechnik schlauch)","techtechnikschlauch",1
"(teleskop astschere)","teleskopenastschere",1
"(teleskop garderobe)","teleskopgarderobe",3
"(teleskop stab)\\ magnetisch","teleskopstab magnetisch",1
"(teppich unterlage)","teppichnunterlage",2
"(terassen diele)","tarassendiele",9
"(terassen diele)","teassendiele",2
"(terassen diele)","terassebndiele",1
"(terassen diele)","terassendiesle",4
"(terassen diele)","terassendieöle",2
"(terassen diele)","trassendiele",9
"(terassen diele)","treassendiele",1
"(terassen diele)\\ 5\\ meter","terassendiele 5 meter",1
"(terassen diele)\\ diele","terassendiele iele",1
"(terassen diele)\\ douglasien","terassendiele douglaise",1
"(terassen diele)\\ holz","terassensiele holz",1
"(terassen diele)\\ wpc","tedassendiele wpc",1
"(terrassen fließen)","terassenfließen",8
"(terrassen fließen)\\ stein","terassenfließen stein",15
"(terrassen lager)","terrassenplaner",1
"(terrassen lager)\\ zubehor","terrassenlager zubehor",1
"(terrassen steine)","terrassenssteine",1
"(terrassen strahler)","terassenestrahler",1
"(terrassenfliese metropolis)","terassenfliesemetropolis",1
"(terrassenplatte vista)","terassenplattevista",2
"(tesa hakenleiste)\\ weiß","tesahakenleiste weiß",1
"(tesa montageband)","tesamontageband",1
"(textil kabel)","textilekabel",8
"(tief grund)","tiefgghrund",1
"(tisch beine)","tischabeine",2
"(tisch beine)","tischbbeine",5
"(tisch beine)","tischhbeine",3
"(tisch beine)\\ 4000","tischebeine 40cm",1
"(tisch beine)\\ x","tischabeine x",1
"(tisch fuß)","tischbfuß",4
"(tisch fuß)\\ edelstahl","tischbfuß edelstahl",1
"(tool box)\\ metall","toolbox metal",3
"(tool box)’s","toolbox&rsquo;s",1
"(toolson abbruchhammer)","toolsonabbruchhammer",1
"(torx schrauben)\\ 10000","torxschrauben 100mm",1
"(transport roller)","transporteroller",1
"(trapez blech)\\ schrauben","trappezpblech schrauben",1
"(trass zement)","trassenzement",1
"(trass zement)","trasstzement",1
"(tret mülleimer)","tretmülleiner",1
"(tret mülleimer)\\ 3","trettmülleimer 3",1
"(trex klebeband)","trennklebeband",9
"(trinkwasser schlauch)","trinkwasserachlauch",1
"(trinkwasser schlauch)","trinkwassersxhlauch",1
"(trinkwasser schlauch)","trunkwasserschlauch",1
"(trocken estrich)","trockenanstrich",1
"(trockenbau eckprofil)","trockenbaudeckeprofil",1
"(trockenbau schrauben)","trockenbauscharuben",1
"(trockenbau schrauben)","trockenbauschrsuben",2
"(trockenbau schrauben)","trovkenbauschrauben",1
"(trockenbau schrauben)","tzrockenbauschrauben",1
"(trockene wand)","trokenewand",5
"(tv kabel)","taukabel",1
"(tür beschlag)","türvbeschlag",3
"(tür bodendichtung)","türobodendichtung",1
"(tür element)","türenelement",1
"(tür element)\\ bad","türelement bad",1
"(tür gitter)\\ marker","türgitter marley",1
"(tür innen)","türkinnen",2
"(tür klinke)","türgklinke",2
"(tür stopper)","turfstopper",2
"(tür verkleidung)","türveekleidung",1
"(tür verkleidung)","tütverkleidung",2
"(tür zarge)","türkzarge",1
"(tür zarge)","türvzarge",1
"(tür zarge)\\ 63","türzzarge 63",1
"(tür zargen)","türtzargen",2
"(tür zargen)","türzzargeb",4
"(tür zargen)","türzzargen",5
"(tür zusatzschloss)","türzusatzscloss",8
"(u profile)","ulprofile",3
"(u winkel)","ueinkel",1
"(ud profil)","udeprofili",1
"(umlenk rolle)","umlenkjrolle",1
"(umlenk rolle)","umlänksrolle",2
"(umzugs karton)","umzugsdkarton",1
"(umzugs kartons)","umzugsjkartons",1
"(umzugskarton s)","umzugskartonds",1
"(umzugskarton s)","umzugskortones",1
"(universal schraube)","universallschraube",2
"(unkraut hacke)","unkrauthhacke",1
"(unkraut vernichter)","unkrautbevernichter",2
"(unter schrank)","untereschrank",1
"(unter schrank)\\ bad","unterchschrank bad",2
"(unterschrank küche)","unterschrankküche",11
"(urinal sieb)","urinalsieb",16
"(vacuum beutel)","vaccuumbeutel",1
"(ventil box)","ventilboc",1
"(ventil verlängerung)","ventillverlängerung",1
"(verblend stein)","verblenddstein",2
"(verblend stein)","verblendsstein",1
"(verblend stein)\\ 3d","verblindestein 3d",1
"(verblender riemchen)","",3
"(verblender riemchen)\\ holz","verblenderriemchen holz",1
"(verteiler stück)\\ y","verteilerstück y",1
"(viertelkreis profil)","viertelkreiseprofile",12
"(vinyl boden)","venyllboden",2
"(vinyl boden)","vinilyboden",13
"(vinyl boden)","vinylbboden",1
"(vinyl boden)","vinyltboden",3
"(vinyl bodenbelag)\\ plane","vinylbodenbelag plaza",1
"(vinyl bodenbelag)\\ weiße","vinylbodenbelag weiss",2
"(vinyl böden)","venyliböden",3
"(vinyl fliesen)","vinylbfliesen",1
"(vinyl laminat)","vinilolaminat",3
"(vinyl laminat)\\ harz","vinylmlaminat hart",3
"(vlies tapete)","vliesetapet",1
"(vlies tapete)","vliesigtapete",1
"(vlies tapete)","vliesstappete",4
"(vlies tapete)","vliesßtapete",53
"(vlies tapete)\\ betonoptik","vliesetapete betonoptik",1
"(vlies tapete)\\ elegance","vliesetapete elegance",1
"(vlies tapete)\\ steinoptic","vliesetapete steinoptic",4
"(vlies tapete)\\ strukturen","vliesetapete strukturen",2
"(vliestapete damask)","vliestapetwdamask",1
"(vliestapeten kleister)","vliestapetenmkleister",5
"(voltomat batterieleuchte)","voltomatbatterieleuchte",2
"(voltomat lampenpendel)","voltomatlampenpendel",2
"(vorhang schiene)","vorgangsschiene",2
"(vorhang schiene)","vorhanghschiene",5
"(vorhang schienen)","vorhängeschienen",2
"(vorschlaghammer xl)","vorschlaghammeraxt",1
"(wagen heber)","wagemnheber",1
"(wagen heber)","wagenehebr",1
"(wagen heber)","wagenhebwr",1
"(wagen heber)","wagenheer",1
"(wagen heber)","wagennheber",1
"(wagen heber)","wagerheber",1
"(wagen heber)","wagneheber",2
"(wagen heber)\\ 20\\ sonnen","wagenheber 20 tonnen",1
"(wago leuchtenklemme)","wacoleuchtenklemme",1
"(walkie talkies)","walkietalkies",4
"(wamsler pelletofen)","wanslerpelletofen",1
"(wand farben)","wamdfarben",2
"(wand farben)\\ anthrazit","wandfarben anthrazit",1
"(wand farben)\\ band","wandfarben bund",1
"(wand farben)\\ dunkelgrau","wandfarben dunkelgrau",3
"(wand farben)\\ grad","wandfarbrn grau",1
"(wand farben)\\ grad","wsandfarben grau",1
"(wand farben)\\ grad\\ bein","wandfarben grau brain",1
"(wand farben)\\ grad\\ brause","wandfarben grau braun",1
"(wand farben)\\ grautöne","wandfarben grautöne",2
"(wand farben)\\ innen\\ ,it","wandfarben innen ,it",1
"(wand farben)\\ lava","wandfarben lila",1
"(wand farben)\\ löten","wandfarben lösen",1
"(wand farben)\\ malfarben","wandfarben ralfarben",6
"(wand farben)\\ mit\\ glätter","wandfarben mit glitter",1
"(wand farben)\\ rost","wandfarben rosa",1
"(wand farben)\\ seidenmatt","wandfarben seidenmatt",2
"(wand farben)\\ streichen","wandfarben streifen",1
"(wand farben)\\ weiß","wandfarben weis",2
"(wand fliesen)","wanderfliesen",2
"(wand regal)","wanddregal",2
"(wand regal)","wandfregal",6
"(wand regal)","wandreregal",2
"(wand regal)","wands2regal",2
"(wand regal)\\ 800","wanderegal 800",1
"(wand regal)\\ schwerl","wandreregal schwarz",1
"(wand tapete)\\ fliesenoptik","wandtapete fliesenoptik",1
"(wand tapete)\\ steropur","wandtapete styropor",1
"(wand wc)","wand_wc",2
"(wandfliese mosaik)","wandfliesemosaik",1
"(wandleuchte holz)","wandleuchteholz",3
"(wandregal chany)","wandregalchany",1
"(wannen thermostat)","wannenstermostat",1
"(warmwasser speicher)","warmwassersspeicher",3
"(wasch becken)","waschebekcken",1
"(wasch becken)","waschzbecken",1
"(wasch becken)\\ mit\\ hahn","waschenbecken mit hahn",6
"(wasch becken)\\ siphon","waschenbecken siphon",1
"(wasch sauger)","wäschesauger",2
"(waschbecken unterschrank)","waschbeckennunterschrank",4
"(waschgeräte ventil)","waschgeräteventil",4
"(waschgeräte ventil)","waschgerätventil",1
"(waschmaschinen schlauch)","waschmaschieneschlauch",2
"(waschmaschinen zubehör)","waschmaschinenzubehö",1
"(waschtisch a)","",15
"(waschtisch a)","alu eckprofil",1
"(waschtisch a)","brause",1
"(waschtisch a)","duschametur",1
"(waschtisch a)","duschamsrtur",1
"(waschtisch a)","duschst",1
"(waschtisch a)","kabel",2
"(waschtisch a)","spiegelablage",1
"(waschtisch a)","spiegelschrank 45",1
"(waschtisch a)","waschtisch 45",2
"(waschtisch a)","waschtisch45",13
"(waschtisch a)","waschtischch",1
"(waschtisch a)","waschtischro",1
"(waschtisch a)","waschtischsr",1
"(waschtisch a)","wasserhahn",6
"(waschtisch armatur)","waschtischsarmatur",10
"(waschtisch set)\\ 120","waschtischset 120",1
"(waschtisch set)\\ 120\\ cm","waschtischset 120 cm",2
"(waschtisch set)\\ 140","waschtischset 140",1
"(waschtisch set)\\ 40","waschtischset 40",1
"(waschtisch set)\\ 50","waschtischset 50",2
"(waschtisch set)\\ camargue","waschtischset camargue",2
"(waschtisch set)\\ elegance","waschtischset elegance",1
"(waschtisch set)\\ gästebad","waschtischset gästebad",11
"(waschtisch set)\\ kompakt","waschtischset kompett",1
"(wasser hahn)","wassernhahn",1
"(wasser pflanzen)\\ topf","wasserpflanzen topf",4
"(wasser pflanzen)\\ topf","wasserpflanzen töpfe",3
"(wasser pumpe)","wasserabpumpe",2
"(wasser pumpe)\\ hahn","wasserabpumpe haus",1
"(wasser rohr)","wasserrrohr",4
"(wasser stop)\\ dach","wasserstop dach",1
"(wasser stop)\\ dusche","wasserstop dusche",1
"(wasser stop)\\ duschwanne","wasserstop duschwand",1
"(wasser stop)\\ verlängerung","wasserstop verlängerung",1
"(wasserhahn bad)","wasserhanzbad",2
"(wc becken)\\ los\\ angel","wcbecken los angeley",1
"(wc becken)\\ zubehoer","wcbecken zubehoer",1
"(wc bürste)\\ silikon","wcbürste silikon",2
"(wc papierhalter)","wcpappierhalter",4
"(wc schüssel)","wcschüssel",5
"(wc set)","wieset",1
"(wc set)\\ kanal","wcset koral",2
"(wc set)\\ kompination","wcset kompination",3
"(wc spülkasten)","wcspülkasten",18
"(wc wand)","wcwan",6
"(wc wand)","wohwand",6
"(wc wand)","wonwand",1
"(wdvs dübel)","wdvsdübel",1
"(weber holzkohle)","weberholzkohle",1
"(weich sockelleiste)","weichelsockelleiste",1
"(weihnachtsmann wichtel)","weihnachtsmannwichtel",1
"(weiß zement)","weißzemen",2
"(weka saunahaus)","wekasaunahaus",1
"(well rohr)\\ 16","wellrohr 16",2
"(well rohr)\\ 3\\\\\\/4","wellrohr 3/4",1
"(well rohr)\\ 4000","wellrohr 40mm",4
"(well rohr)\\ alu","wellrohr alu",1
"(well rohr)\\ befestigung","wellrohr befestigung",2
"(well rohr)\\ en\\ 40","wellrohr en 40",1
"(well rohr)\\ erdreich","wellrohr erdreich",3
"(well rohr)\\ flexkabel","wellrohr flexibel",4
"(well rohr)\\ kabel","wellrohr kabel",1
"(well rohr)\\ kabelschutz","wellrohr kabelschutz",3
"(well rohr)\\ leerrohr","wellrohr leerrohr",1
"(well rohr)\\ sockelle","wellrohr schelle",2
"(well rohr)\\ solar","wellrohr solar",2
"(wera bit)","werabits",2
"(werkstatt wagen)","werkstattawagen",1
"(werkstatt wagen)","werkstattzwagen",7
"(werkzeug box)","werkzeugsbox",1
"(werkzeug box)\\ 120\\ seile","werkzeugbox 120 teile",1
"(werkzeug box)\\ aus\\ metallg","werkzeugbox aus metall",3
"(werkzeug box)\\ metall","werkzeugbox metal",3
"(werkzeug kiste)\\ holz","werkzeugleiste holz",3
"(werkzeug koffer)\\ blech","werkzeutzkoffer bosch",2
"(werkzeug rucksack)","werkzeugruksack",1
"(werkzeug rucksack)","werkzeugtucksack",1
"(werkzeug schrank)","",2
"(werkzeug set)\\ 39\\ seile","werkzeugset 39 teile",1
"(werkzeug set)\\ anhänger","werkzeugset anfänger",1
"(werkzeug set)\\ blech","werkzeugset bosch",1
"(werkzeug set)\\ farben","werkzeugset frauen",1
"(werkzeug set)\\ rost","werkzeugset rosa",2
"(werkzeug set)\\ spalter","werkzeugset starter",1
"(werkzeug set)\\ uhrmacher","werkzeugset uhrmacher",1
"(werkzeug set)\\ zink","werkzeugset pink",3
"(westminster pelletofen)","weltminsterpelletofen",3
"(whirlpool filter)","wirlpoolsfilter",2
"(wilmes schuhregal)","wilmesschuhregal",4
"(winkel blech)\\ anthrazit","winkelblech anthrazit",4
"(winkel blech)\\ s","winkelblech s",1
"(winkel blech)\\ schwerl","winkelblech schwarz",1
"(winkel blech)\\ zink","winkelblech zink",1
"(winkel bohrmaschine)","winkielbohrmaschine",4
"(winkel ia)","winkelia",2
"(winkel leiste)","winkeleleiste",2
"(winkel leiste)\\ weiß","winkellsleiste weiß",1
"(winkel leisten)\\ 6x7","winkelleisten  6x7",1
"(winkel leisten)\\ anthrazit","winkelleisten anthrazit",1
"(winkel leisten)\\ decke","winkelleisten decke",1
"(winkel leisten)\\ holz\\ 45","winkelleisten holz 45",3
"(winkel leisten)\\ holz\\ 5","winkelleisten holz 5",1
"(winkel leisten)\\ kunststoff","winkelleisten kunstoff",3
"(winkel leisten)\\ küche","winkelleisten küche",1
"(winkel messer)","winkelzmesser",1
"(winkel messer)","winklermesser",2
"(winkel profil)","winkelöprofil",1
"(winkel schleifer)","winklerschleifer",5
"(winkel schleifer)\\ 115","winklerschleifer  115",1
"(winkel schleifer)\\ flex","winklerschleifer flex",1
"(winkel spanner)","wineklspanner",1
"(winkel spanner)","winkeispanner",1
"(winkel spanner)","winkelapanner",1
"(winkel spanner)","winklespanner",1
"(winkel stecker)","winklestecker",2
"(winkel stecker)\\ ip44","winkelstecker ip44",1
"(winkel stecker)\\ ip44","winkestecker ip44",1
"(winter garten)","winterrgarten",1
"(wisent schaber)","wisentschaber",1
"(wohnungs eingangstür)","wohnungseeingangstür",3
"(wolfcraft bohrständer)","wolfcraftbohrständer",1
"(wolfcraft verlegeset)","wolfcraftverlegeset",1
"(wäsche ständer)","wäschelständer",1
"(ximax badheizkörper)","ximaxbadheizkörper",1
"(ytong porenbetonstein)","ytongporenbetonsteine",7
"(zaun tor)","zaunetor",3
"(zement fliesen)","zementefliesen",4
"(zimmer leuchten)","zimmerluchten",3
"(zug feder)","zugpfeder",1
"(öl filter)","ölifilter",1
"(öl filter)\\ honda","ölfilter honda",1
"(öl filter)\\ kassen\\ auto","ölfilter kaufen auto",1
"(öl filter)\\ vw\\ toxan","ölfilter vw touran",2
"(öl radiator)","öldradiator",1
"(öl radiator)","ölkradiator",3
"(ösen schrauben)","öaenschrauben",1
"(ösen schrauben)","ösenachrauben",4
"(ösen schrauben)\\ m16","ösenschrauben m16",1
"(ösen schrauben)\\ sortiment","ösenschrauben sortiment",1
"(übergangs profil)","übergangsgprofil",3
"(übergangs profile)","übergangspprofile",1
"(übertopf calima)","übertopfcalima",1
",\\ schlauch\\ machine",", schleich machine",1
",bohrer\\ 1.7",",7bohrer 1.7",1
",eimer",",eiter",1
",metallleiste",",etallleiste",1
",metallschiene",",etallschiene",1
",multischleifer",",mulztischleifer",1
",stahl\\ profil",",stall profil",3
"..sanitäre\\ kupferrohre","..sanitärl kuferrohre",3
".\\ massivholzplatten",". massivholzatten",3
".aussenleuchten",".ausenläuchten",8
".metabo",".etabo",5
".möbelroller",".öbelroller",1
"0,35\\ wand","0,35 watt",2
"0040\\\\\\-10","02480-10",1
"0093","0sb3",2
"0101","0101bs",1
"0120\\\\\\-1","01620-1",4
"0141","t141",1
"0176","k176",1
"0203","a203",1
"0303","k303",1
"0304","h304",2
"035\\ 20000","035 200mm",1
"040\\ 6000","040 60mm",1
"0439","0w39",1
"0439\\\\\\-60","3439-60",1
"061","06b1",1
"0618","061tl",1
"063","k063",1
"0720","",1
"0720","0w20",18
"078\\\\\\-13","9078-13",1
"0871","0871c",1
"1,14\\ wand","1,14 watt",2
"1,5002","1,5mm2",3
"1,5002","einzelader",1
"1,5\\ zelt","1,5 z0ll",1
"1,7\\ zange","1,7 zwinge",1
"1.2200","1.2210",1
"1.5002","1.5mm2",2
"10000","p10000",1
"10000\\ 8000","100mm 80mm",1
"10000\\ heizer","1000w heizer",1
"10000\\ kabel","100er kanal",1
"10000\\ kg","100er kg",1
"10000\\ leistung","100mm leitung",1
"10000\\ leuchtmittel","1000w leuchtmittel",1
"10000\\ mal\\ 10000","100mm mal 100mm",1
"10000\\ osram","1000w osram",1
"10000\\ rohr","100er rohr",8
"10000\\ rohr","100mm rohr",6
"10000\\ rückschlag","100mm rückschlag",1
"10000\\ schrauben","100mm schrauben",2
"10000\\ sicherung","100ah sicherung",1
"10000\\ säge","100mm säge",1
"10000\\ x\\ 5000","100cm x 50cm",2
"10000\\\\\\-11000","10008-01000",1
"10000\\\\\\/h","100km/h",1
"1000\\ 1200","1200 x200",3
"1000\\ 1250","1200 x250",1
"1000\\ bleche","3000 buche",1
"1000\\ btu","7000 btu",2
"1000\\ fichte","1700 fichte",1
"1000\\ flaschen","1000 laschen",1
"1000\\ fliesen","1300 fliesen",1
"1000\\ grip","1500 grit",1
"1000\\ heizkörper","1400 heizkörper",1
"1000\\ heizkörper","1800 heizkörper",1
"1000\\ holz\\ platten","3000 holz platte",1
"1000\\ led\\ lampe","1500 led lampen",1
"1000\\ lm","4000 lm",7
"1000\\ lm","5000 lm",2
"1000\\ lm","8000 lm",1
"1000\\ nassschleifpapier","1200 nassschleifpapier",2
"1000\\ schleifpapier","2000 schleifpapier",5
"1000\\ schleifpapier","3000 schleifpapie4",1
"1000\\ schleifpapier","3000 schleifpapier",1
"1000\\ schleifpapier","5000 schleifpapier",2
"1000\\ stahlwelle","0000 stahlwolle",1
"1000\\ teiche","4000  eiche",1
"1000\\ vs","3000 vs",1
"1000\\ x\\ 1000","8000 x 7000",1
"1000\\\\\\/37","1400/37",1
"1000\\\\\\/6\\ usk","2000/6 usk",1
"1000°\\ lack","1200&deg; lack",1
"1000×22×600","1400&times;22&times;600",2
"10010","10w10",1
"10010","10x1010",1
"10010","s0010",1
"10012","10mm2",35
"1004","1004sb",1
"1005","10hr",1
"1005\\ (sperr holz)\\ pappe","10mm sperrholz pappel",2
"1005\\ 160\\ 11","1095 160 11",2
"1005\\ 55","8005 55",1
"1005\\ aluminium","10mm aluminium",1
"1005\\ holz","10cm holz",1
"1005\\ kupferrolle","10mm kupferrote",1
"1005\\ lack","100l sack",1
"1005\\ led","100w led",1
"1005\\ pe","10mm pe",2
"1005\\ spachtel","10mm spachtel",2
"1005²\\ n","10mm&sup2; n",1
"100\\ 1080","100 x080",1
"100\\ 4120","100 x120",1
"100\\ 60\\ 1000","100 60 3000",3
"100\\ ablaufschlauch","100 abluftschlauch",2
"100\\ l\\ fuss","100 l fass",1
"100\\ maler","100 mal75",1
"100\\ putz","100 proz",1
"100\\ stahlroh","100 stallroh",1
"100×50\\ balkon","100&times;50 balken",1
"1010","101b",2
"1010","101d",1
"1010\\ tür","9010 tür",1
"10118","1mp18",1
"101188\\\\\\/","601188/",2
"1016","1g16",1
"1019\\\\\\-61","1719-61",1
"1028","l1028",1
"1030","103b",1
"10300","103la",1
"1031","p1031",1
"1033","16w33",1
"1038","t038",1
"1040","1040n",1
"10410","c0410",1
"104216%","104166%",1
"1042\\\\\\-20","4042-20",2
"10430","104330e",1
"1045\\\\\\-20","",1
"1045\\\\\\-20","4045-20",4
"1050","105w",1
"1050\\\\\\-00","1051-00",1
"1055\\\\\\-21","1555-21",1
"10660\\\\\\+","106968+",1
"10700","107mm",1
"1079\\ g","104779 g",1
"1079\\\\\\-2","194079-2",1
"10800","108mm",1
"10860","10x60",1
"109","l109",1
"10901","1097u",1
"1092\\ leistung","10m2 leitung",3
"1095","109s",2
"1095\\ weiße","0095 weiss",1
"1098","1098u",1
"109\\ fiskars","l109 fiskars",1
"10\\ dübel","10 dürl",1
"10\\ edelstahlrost","10 edelstahlrohr",1
"10\\ gong","10 gnge",1
"10\\ l\\ algen","10 l argon",1
"10\\ leiter\\ fuss","10 liter fass",1
"10\\ mm\\ rundstahl","10 mm runsstahl",1
"10\\ pflanzetopf","10 pflanzentopf",1
"10\\ quadrat\\ leistung","10 quadrat leitung",1
"10\\ roll\\ lack","10 zoll rack",1
"10\\ steckschlüssel","10 steckscjlüssel",2
"10\\ vielzahl","10 vielzahn",1
"10\\\\\\","10&quot; tires",1
"10×10×2500","10&times;10&times;25cm",3
"1100","11pk",3
"1100","h100",2
"11000","m1000",2
"11000\\ heber","q1000 weber",1
"11000\\ rohr","110kg rohr",2
"11000\\ rohr","110mm rohr",1
"11000\\ rohre","110mm röhre",1
"1100\\ 19","v100 19",1
"1100\\ 2200","v100 22mm",1
"1100\\ bohrer","11mm bohrer",4
"1100\\ holz","11mm holz",4
"1100\\ k","11mm k",1
"1100\\ multiflex","11mm multiplex",1
"1100\\ x\\ 50","b100 x 50",1
"1103\\\\\\-8","191b03-8",2
"110\\ abzweig","110 abzweiget",1
"110\\ abzweig","110 apzweig",1
"110\\ stopper","110 stopfen",3
"110\\\\\\/10000","110/100mm",1
"1112","d112",2
"1112","s112",1
"1115","l115",2
"111616\\ 1,11","116161 1,11",1
"1118","j118",8
"1118","t118",1
"1118\\\\\\-000","1128-000",1
"1118\\\\\\-20","1188-20",1
"1122","s1122",3
"1142","m1142",1
"1145","t145",1
"1145.\\ 4","e145. 4",1
"1150","p150",1
"11500","p1500",3
"11500\\ schleif","p1500 schleif",1
"1152","c152",1
"1152","r152",1
"1155","r155",1
"1164","s164",1
"1170","t170",3
"1174","e174",1
"1175","191d75",1
"1180","e180",1
"1180","p180",3
"119","t119",2
"1191","u191",2
"1193","119x63",1
"11\\\\\\/4\\ roll","11/4 zoll",1
"12,lprofil","12,5profil",1
"1200","120z",1
"1200","12ah",2
"1200","12ks",3
"1200","12sp",2
"1200","c200",8
"12000","m2000",1
"12000\\ b","1201070 b",1
"12000\\ x\\ 6000","1200mm x 600mm",1
"12000\\ x\\ 6000","120cm x 60cm",1
"1200\\ (sperr holz)","12mm sperrholz",2
"1200\\ (sperr holz)\\ kleber","12mm sperrholz kiefer",1
"1200\\ 12c","12cm 12c",1
"1200\\ 1\\\\\\/2","12mm 1/2",2
"1200\\ 37x24x23","12df 37x24x23",1
"1200\\ 3\\ schichtplatten","12mm 3 schichtplatte",1
"1200\\ 40","120x 40",1
"1200\\ 70","120x 70",4
"1200\\ akku","1220 akku",1
"1200\\ aluminium","12mm aluminium",2
"1200\\ asche","12mm achse",1
"1200\\ auf\\ 1500","12mm auf 15mm",1
"1200\\ balkon","12cm balken",1
"1200\\ boden","12mm bogen",2
"1200\\ bohrer","12er bohrer",1
"1200\\ bohrer","12mm bohrer",15
"1200\\ bohrfutter","12mm bohrfutter",1
"1200\\ brett","12cm brett",1
"1200\\ edelstahl","12mm edehlstall",1
"1200\\ edelstahl","12mm edelstahl",1
"1200\\ fräse","12mm fräser",1
"1200\\ gas","c200 gas",6
"1200\\ gaskartusche","c200 gaskartousche",2
"1200\\ gaskartusche","c200 gaskartusche",5
"1200\\ heizung","12mm heizung",2
"1200\\ holz","12cm holz",1
"1200\\ holz","12mm holz",3
"1200\\ kabel","12dc kabel",1
"1200\\ kiefer","12mm kupfer",6
"1200\\ leimholz","12mm leimholz",1
"1200\\ lstahl","12mm stahl",1
"1200\\ möbel","q1200 mobil",2
"1200\\ nagel","12mm nagel",1
"1200\\ pappe","12mm pappel",2
"1200\\ platten","12mm platte",2
"1200\\ platten","12mm platten",3
"1200\\ pressspann","12mm pressspahn",1
"1200\\ propangas","12kg  propangas",2
"1200\\ rohr","12mm rohr",4
"1200\\ schlauch","12mm schlauch",2
"1200\\ schrauben","12er schraube",1
"1200\\ schrauben","12mm schraube",2
"1200\\ schrauben","12mm schrauben",1
"1200\\ schwerlastregal","r200 schwerlastregal",1
"1200\\ sds","12mm sds",2
"1200\\ siebdrucke","12mm siebdruc",2
"1200\\ siebdrucke","12mm siebdruck",2
"1200\\ sockel","120l säcke",1
"1200\\ spanplatte","12mm spanplatte",3
"1200\\ stab","12mm stab",1
"1200\\ teil","12mm seil",1
"1200\\ ubergang","12mm übergang",1
"1200\\ wasserw","12mm wasser",1
"1204","k204",1
"1205","w205",1
"120\\ db\\ koax","120 db coax",2
"120\\ s\\ laken","120 s haken",1
"120\\ schalosie","120 chalosie",1
"120\\\\\\*6000","120*60cm",1
"1210","12v10w",1
"1210","s210",2
"1211","w211",1
"1215","h215",1
